date,number,species,treatment,cohort,week,height (cm),leaf number,bolting Y/N,buds,notes
2-Jan,1,heco,low N,4,1,1.8,0,N,NA,
2-Jan,2,heco,high N,4,1,2.6,2,N,NA,
2-Jan,3,heco,high N,3,1,1.7,0,N,NA,
2-Jan,4,heco,low N,1,1,1.4,0,N,NA,
2-Jan,5,heco,low N,3,1,1.9,0,N,NA,
2-Jan,6,heco,high N,1,1,2.1,2,N,NA,
2-Jan,7,heco,high N,3,1,1.3,0,N,NA,
2-Jan,8,heco,low N,3,1,2.3,0,N,NA,
2-Jan,9,ceso,high N,3,1,2.3,0,N,NA,
2-Jan,10,ceso,high N,4,1,2,0,N,NA,
2-Jan,11,ceso,high N,2,1,1.6,0,N,NA,
2-Jan,12,ceso,low N,2,1,1.5,0,N,NA,
2-Jan,13,ceso,low N,2,1,0.6,0,N,NA,
2-Jan,14,ceso,high N,3,1,1.4,0,N,NA,
2-Jan,15,ceso,low N,4,1,1.2,0,N,NA,
2-Jan,16,ceso,low N,1,1,1.7,0,N,NA,
2-Jan,17,heco,high N,3,1,0.9,0,N,NA,
2-Jan,18,heco,low N,2,1,1,0,N,NA,
2-Jan,19,heco,high N,2,1,0.6,2,N,NA,
2-Jan,20,ceso,high N,4,1,1.7,0,N,NA,
2-Jan,21,heco,high N,2,1,1.7,0,N,NA,
2-Jan,22,ceso,low N,2,1,1.4,0,N,NA,
2-Jan,23,ceso,low N,3,1,1.5,0,N,NA,
2-Jan,24,heco,low N,3,1,0.9,0,N,NA,
2-Jan,25,ceso,low N,4,1,1.2,0,N,NA,
2-Jan,26,heco,high N,2,1,0.5,0,N,NA,
2-Jan,27,heco,high N,3,1,0.9,2,N,NA,
2-Jan,28,heco,low N,1,1,1,0,N,NA,
2-Jan,29,heco,high N,2,1,0.7,2,N,NA,
2-Jan,30,heco,high N,3,1,1.2,2,N,NA,
2-Jan,31,heco,low N,1,1,1.2,0,N,NA,
2-Jan,32,ceso,low N,3,1,1.6,0,N,NA,
2-Jan,33,heco,high N,4,1,1,2,N,NA,
2-Jan,34,heco,high N,1,1,1.1,2,N,NA,
2-Jan,35,ceso,low N,3,1,1.4,0,N,NA,
2-Jan,36,heco,high N,4,1,1,2,N,NA,
2-Jan,37,heco,high N,2,1,1.4,0,N,NA,
2-Jan,38,ceso,high N,2,1,1.7,0,N,NA,
