number,species,treatment ,cohort ,date harvested,leaf area,shoot fresh biomass,shoot dry biomass,root fresh biomass,root dry biomass (g)
4,heco,low N,1,2-Jan,NA,0.0156,0.001,0.0086,0.0000086
6,heco,high N,1,2-Jan,NA,0.0431,0.0023,0.0129,0.0000129
16,ceso,low N,1,2-Jan,NA,0.0209,0.0016,0.0095,0.0000095
28,heco,low N,1,2-Jan,NA,0.0125,0.0011,0.0106,0.0000106
31,heco,low N,1,2-Jan,NA,0.0143,0.0013,0.0175,0.0000175
34,heco,high N,1,2-Jan,NA,0.023,0.0015,0.0077,0.0000077
42,ceso,low N,1,2-Jan,NA,0.02,0.0015,0.0098,0.0000098
45,heco,high N,1,2-Jan,NA,0.0324,0.0023,0.0111,0.0000111
47,ceso,high N,1,2-Jan,NA,0.0132,0.0009,0.0035,0.0000035
57,heco,high N,1,2-Jan,NA,0.0328,0.0024,0.0119,0.0000119
61,heco,high N,1,2-Jan,NA,0.0233,0.0019,0.0099,0.0000099
66,ceso,high N,1,2-Jan,NA,0.0247,0.0016,0.0122,0.0000122
74,ceso,high N,1,2-Jan,NA,0.0215,0.0017,0.0059,0.0000059
76,ceso,low N,1,2-Jan,NA,0.0133,0.0012,0.0068,0.0000068
77,ceso,high N,1,2-Jan,NA,0.0284,0.0019,0.0064,0.0000064
82,ceso,high N,1,2-Jan,NA,0.0197,0.0015,0.0051,0.0000051
83,heco,low N,1,2-Jan,NA,0.0185,0.0012,0.0129,0.0000129
87,heco,high N,1,2-Jan,NA,0.0235,0.0018,0.0083,0.0000083
89,heco,low N,1,2-Jan,NA,0.0212,0.0015,0.0266,0.0000266
96,ceso,high N,1,2-Jan,NA,0.0174,0.0013,0.0064,0.0000064
97,heco,low N,1,2-Jan,NA,0.0164,0.001,0.0152,0.0000152
100,ceso,high N,1,2-Jan,NA,0.0273,0.0017,0.0069,0.0000069
108,ceso,low N,1,2-Jan,NA,0.0139,0.0009,0.009,0.000009
109,heco,low N,1,2-Jan,NA,0.0141,0.0011,0.0072,0.0000072
112,heco,low N,1,2-Jan,NA,0.0186,0.0011,0.0178,0.0000178
115,heco,high N,1,2-Jan,NA,0.0295,0.0017,0.0081,0.0000081
116,ceso,low N,1,2-Jan,NA,0.0259,0.0022,0.0081,0.0000081
118,ceso,low N,1,2-Jan,NA,0.0215,0.0013,0.0053,0.0000053
123,ceso,high N,1,2-Jan,NA,0.0208,0.0014,0.0097,0.0000097
125,heco,high N,1,2-Jan,NA,0.0283,0.0018,0.0096,0.0000096
128,heco,low N,1,2-Jan,NA,0.0156,0.001,0.0091,0.0000091
130,heco,high N,1,2-Jan,NA,0.0506,0.003,0.0154,0.0000154
134,heco,high N,1,2-Jan,NA,0.0226,0.0015,0.0115,0.0000115
136,ceso,low N,1,2-Jan,NA,0.0192,0.0009,0.006,0.000006
137,ceso,low N,1,2-Jan,NA,0.0181,0.0007,0.0047,0.0000047
141,ceso,low N,1,2-Jan,NA,0.0127,0.0009,0.0046,0.0000046
146,ceso,low N,1,2-Jan,NA,0.0139,0.0013,0.0043,0.0000043
149,ceso,high N,1,2-Jan,NA,0.0182,0.0011,0.0032,0.0000032
153,ceso,high N,1,2-Jan,NA,0.0198,0.0013,0.0039,0.0000039
160,heco,low N,1,2-Jan,NA,0.0276,0.002,0.0154,0.0000154
11,ceso,high N,2,16-Jan,1.218,0.0918,0.0075,0.0119,0.0000119
12,ceso,low N,2,16-Jan,0.665,0.0596,0.0043,0.0229,0.0000229
13,ceso,low N,2,16-Jan,0.281,0.0299,0.0025,0.0249,0.0000249
18,heco,low N,2,16-Jan,0.448,0.0471,0.0037,0.0242,0.0000242
19,heco,high N,2,16-Jan,0.994,0.0761,0.0059,0.0201,0.0000201
21,heco,high N,2,16-Jan,0.882,0.1753,0.0119,0.0189,0.0000189
22,ceso,low N,2,16-Jan,1.203,0.0593,0.0042,0.0095,0.0000095
27,heco,high N,2,16-Jan,0.838,0.0987,0.0069,0.0221,0.0000221
29,heco,high N,2,16-Jan,0.911,0.1988,0.0125,0.0319,0.0000319
37,heco,high N,2,16-Jan,1.126,0.1115,0.0078,0.0336,0.0000336
38,ceso,high N,2,16-Jan,1.969,0.1463,0.0113,0.0176,0.0000176
41,heco,high N,2,16-Jan,1.048,0.0921,0.0075,0.0187,0.0000187
48,ceso,high N,2,16-Jan,2.696,0.2744,0.0166,0.0117,0.0000117
50,ceso,high N,2,16-Jan,3.521,0.2561,0.0185,0.0309,0.0000309
58,ceso,high N,2,16-Jan,1.626,0.1669,0.0099,0.0099,0.0000099
59,ceso,low N,2,16-Jan,1.091,0.0704,0.0052,0.0187,0.0000187
62,ceso,high N,2,16-Jan,0.479,0.058,0.0045,0.0168,0.0000168
64,heco,high N,2,16-Jan,0.941,0.1208,0.0087,0.0261,0.0000261
72,ceso,low N,2,16-Jan,0.596,0.0567,0.0044,0.0229,0.0000229
73,heco,low N,2,16-Jan,0.554,0.0589,0.0049,0.0274,0.0000274
79,heco,low N,2,16-Jan,0.592,0.0964,0.006,0.0066,0.0000066
81,heco,low N,2,16-Jan,0.54,0.0654,0.0052,0.0039,0.0000039
88,ceso,high N,2,16-Jan,1.302,0.1242,0.0079,0.0033,0.0000033
90,heco,high N,2,16-Jan,1.145,0.1265,0.0105,0.01,0.00001
92,heco,low N,2,16-Jan,0.347,0.0672,0.0056,0.0197,0.0000197
93,ceso,high N,2,16-Jan,0.837,0.0776,0.0053,0.0041,0.0000041
99,ceso,low N,2,16-Jan,0.54,0.0496,0.0035,0.0093,0.0000093
101,ceso,high N,2,16-Jan,2.345,0.2251,0.0135,0.0135,0.0000135
102,heco,low N,2,16-Jan,0.448,0.0353,0.0031,0.0065,0.0000065
104,heco,low N,2,16-Jan,0.571,0.0617,0.0048,0.0269,0.0000269
105,heco,high N,2,16-Jan,0.566,0.2821,0.0167,0.0216,0.0000216
110,heco,low N,2,16-Jan,0.355,0.0899,0.0066,0.0124,0.0000124
122,ceso,high N,2,16-Jan,1.416,0.2259,0.0143,0.0119,0.0000119
133,heco,high N,2,16-Jan,0.444,0.1008,0.0085,0.0124,0.0000124
135,heco,low N,2,16-Jan,0.585,0.084,0.0056,0.0181,0.0000181
138,ceso,low N,2,16-Jan,1.102,0.1492,0.0094,0.0067,0.0000067
142,ceso,high N,2,16-Jan,1.199,0.2888,0.0263,0.0134,0.0000134
144,heco,low N,2,16-Jan,0.459,0.0917,0.0069,0.0155,0.0000155
